backend	case_id	model_ref	template_source
gguf	qwen25-gguf-exact	Qwen/Qwen2.5-0.5B-Instruct-GGUF/qwen2.5-0.5b-instruct-q8_0.gguf	-
mlx	qwen25-mlx-exact	mlx-community/Qwen2.5-0.5B-Instruct-8bit	tokenizer_config.json
gguf	qwen3-gguf-exact	Qwen/Qwen3-0.6B-GGUF/Qwen3-0.6B-Q8_0.gguf	-
mlx	qwen3-mlx-exact	mlx-community/Qwen3-0.6B-bf16	tokenizer_config.json
gguf	llama32-gguf-exact	llmware/llama-3.2-1b-gguf/Llama-3.2-1B-Instruct-Q4_K_M.gguf	-
mlx	llama32-mlx-exact	mlx-community/Llama-3.2-1B-Instruct-4bit	tokenizer_config.json
gguf	gemma2-gguf-exact	bartowski/gemma-2-2b-it-GGUF/gemma-2-2b-it-Q4_K_M.gguf	-
mlx	gemma2-mlx-exact	mlx-community/gemma-2-2b-it-4bit	tokenizer_config.json
gguf	gemma3-gguf-exact	ggml-org/gemma-3-1b-it-GGUF/gemma-3-1b-it-Q4_K_M.gguf	-
mlx	gemma3-mlx-exact	mlx-community/gemma-3-1b-it-qat-4bit	tokenizer_config.json
gguf	gemma4-gguf-exact	unsloth/gemma-4-E4B-it-GGUF/gemma-4-E4B-it-Q4_K_M.gguf	-
mlx	gemma4-mlx-exact	unsloth/gemma-4-E4B-it-UD-MLX-4bit	chat_template.jinja
gguf	glm4-gguf-exact	lmstudio-community/GLM-4-9B-0414-GGUF/GLM-4-9B-0414-Q4_K_M.gguf	-
mlx	glm4-mlx-exact	mlx-community/GLM-4-9B-0414-4bit	tokenizer_config.json
gguf	lfm2-gguf-exact	LiquidAI/LFM2-350M-GGUF/LFM2-350M-Q4_K_M.gguf	-
mlx	lfm2-mlx-exact	mlx-community/LFM2-350M-4bit	chat_template.jinja
